article_id,probability
1,0.5599088668823242
2,0.35078927874565125
3,0.8128048777580261
4,0.8847770094871521
5,0.44888728857040405
6,0.6735367774963379
7,0.8946402072906494
8,0.3002678155899048
9,0.28984150290489197
10,0.845215916633606
11,0.1635204553604126
12,0.5341514348983765
13,0.7217342853546143
14,0.5076279640197754
15,0.5771315693855286
16,0.26216673851013184
17,0.7231429815292358
18,0.743628203868866
19,0.10812237858772278
20,0.06512907147407532
21,0.0011245082132518291
22,0.4263392388820648
23,0.0793931856751442
24,0.19358478486537933
25,0.09323590248823166
26,0.008015591651201248
27,0.006682312116026878
28,0.019880419597029686
29,0.4842383563518524
30,0.009451009333133698
31,0.0023819198831915855
32,0.8329418301582336
33,0.8009423613548279
34,0.34426140785217285
35,0.5812258720397949
36,0.28347378969192505
37,0.004543007351458073
38,0.20937375724315643
39,0.18002937734127045
40,0.3277921676635742
41,0.08207551389932632
42,0.27079081535339355
43,0.01735745370388031
44,0.6022250056266785
45,0.037681128829717636
46,0.8673487901687622
47,0.502842903137207
48,0.8640453815460205
49,0.25085851550102234
50,0.02332533523440361
51,0.057165686041116714
52,0.23353099822998047
53,0.03153800219297409
54,0.04442499205470085
55,0.004644882865250111
56,0.16683778166770935
57,0.5517763495445251
58,0.03863128274679184
59,0.16256505250930786
60,0.2489287108182907
61,0.44204428791999817
62,0.00928784254938364
63,0.47682827711105347
64,0.03166370093822479
65,0.22074255347251892
66,0.03207977116107941
67,0.26865240931510925
68,0.06800241023302078
69,0.03986391797661781
70,0.8817175626754761
71,0.649877667427063
72,0.46941429376602173
73,0.03275777027010918
74,0.026561269536614418
75,0.05940587818622589
76,0.34959444403648376
77,0.08355265110731125
78,0.12427070736885071
79,0.6327199935913086
80,0.05241468921303749
81,0.05279837176203728
82,0.10496405512094498
83,0.1453765332698822
84,0.30433523654937744
85,0.2500256896018982
86,0.5519170761108398
87,0.26687192916870117
88,0.01316911168396473
89,0.06039370968937874
90,0.027505476027727127
91,0.08172168582677841
92,0.08058340102434158
93,0.6574373245239258
94,0.020211780443787575
95,0.8852277994155884
96,0.46311962604522705
97,0.013573924079537392
98,0.572073757648468
99,0.1249469444155693
100,0.2427295744419098
